study_word,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
tiger,,0,0,0,1,,,,,0.06481150000035996,,0.013455899999826215,0.06481150000035996,0.06481150000035996,2.3165674000001673,1.0037037037037038,2.2633255000000645,,,,,,,,,,,,,,,8,001,2024-10-17_12h34.51.520,Tutorial 5,2024.1.5,None,2024-10-17 12h35.03.168384 +0530,
cushion,,0,1,1,3,,,,,2.345634500000415,,2.3189831999998205,2.345634500000415,2.345634500000415,4.345814700000119,1.3,1.9965843000009045,,,,,,,,,,,,,,,8,001,2024-10-17_12h34.51.520,Tutorial 5,2024.1.5,None,2024-10-17 12h35.03.168384 +0530,
piano ,,0,2,2,4,,,,,4.3735342999998466,,4.346219299999575,4.3735342999998466,4.3735342999998466,5.555546499999764,1.0148148148148148,1.1800717000005534,,,,,,,,,,,,,,,8,001,2024-10-17_12h34.51.520,Tutorial 5,2024.1.5,None,2024-10-17 12h35.03.168384 +0530,
book,,0,3,3,2,,,,,5.57978920000005,,5.555840799999714,5.57978920000005,5.57978920000005,6.7409577999997055,1,1.1591639999996914,,,,,,,,,,,,,,,8,001,2024-10-17_12h34.51.520,Tutorial 5,2024.1.5,None,2024-10-17 12h35.03.168384 +0530,
vase,,0,4,4,0,,,,,6.769776000000093,,6.741291700000147,6.769776000000093,6.769776000000093,7.720722699999897,1,0.9501966999996512,,,,,,,,,,,,,,,8,001,2024-10-17_12h34.51.520,Tutorial 5,2024.1.5,None,2024-10-17 12h35.03.168384 +0530,
tiger,,1,0,5,1,,,,,7.746233400000165,,7.721080500000426,7.746233400000165,7.746233400000165,8.515426199999638,1,0.7606921000005968,,,,,,,,,,,,,,,8,001,2024-10-17_12h34.51.520,Tutorial 5,2024.1.5,None,2024-10-17 12h35.03.168384 +0530,
piano ,,1,1,6,4,,,,,8.539466600000196,,8.515741999999591,8.539466600000196,8.539466600000196,9.189080099999956,1,0.6474398000000292,,,,,,,,,,,,,,,8,001,2024-10-17_12h34.51.520,Tutorial 5,2024.1.5,None,2024-10-17 12h35.03.168384 +0530,
book,,1,2,7,2,,,,,9.214386399999967,,9.18937249999999,9.214386399999967,9.214386399999967,9.711606599999868,1,0.4939512000000832,,,,,,,,,,,,,,,8,001,2024-10-17_12h34.51.520,Tutorial 5,2024.1.5,None,2024-10-17 12h35.03.168384 +0530,
vase,,1,3,8,0,,,,,9.735858400000325,,9.711977699999807,9.735858400000325,9.735858400000325,10.17520390000027,1,0.43827650000002905,,,,,,,,,,,,,,,8,001,2024-10-17_12h34.51.520,Tutorial 5,2024.1.5,None,2024-10-17 12h35.03.168384 +0530,
cushion,,1,4,9,3,,,,,10.198820499999783,,10.175555099999656,10.198820499999783,10.198820499999783,10.596173500000077,1,0.39570670000011887,,,,,,,,,,,,,,,8,001,2024-10-17_12h34.51.520,Tutorial 5,2024.1.5,None,2024-10-17 12h35.03.168384 +0530,
tiger,,2,0,10,1,,,,,10.620563299999958,,10.596478999999817,10.620563299999958,10.620563299999958,11.06523769999967,1,0.4335759000005055,,,,,,,,,,,,,,,8,001,2024-10-17_12h34.51.520,Tutorial 5,2024.1.5,None,2024-10-17 12h35.03.168384 +0530,
vase,,2,1,11,0,,,,,11.090633800000433,,11.065568500000154,11.090633800000433,11.090633800000433,11.559334900000067,1,0.4609419999997044,,,,,,,,,,,,,,,8,001,2024-10-17_12h34.51.520,Tutorial 5,2024.1.5,None,2024-10-17 12h35.03.168384 +0530,
cushion,,2,2,12,3,,,,,11.588963400000466,,11.55992789999982,11.588963400000466,11.588963400000466,12.10121799999979,1,0.5119634000002407,,,,,,,,,,,,,,,8,001,2024-10-17_12h34.51.520,Tutorial 5,2024.1.5,None,2024-10-17 12h35.03.168384 +0530,
piano ,,2,3,13,4,,,,,12.125681200000145,,12.101540800000294,12.125681200000145,12.125681200000145,12.63057949999984,1,0.5026970999997502,,,,,,,,,,,,,,,8,001,2024-10-17_12h34.51.520,Tutorial 5,2024.1.5,None,2024-10-17 12h35.03.168384 +0530,
book,,2,4,14,2,,,,,12.654304700000466,,12.630881000000045,12.654304700000466,12.654304700000466,13.021625200000017,1,0.365845199999967,,,,,,,,,,,,,,,8,001,2024-10-17_12h34.51.520,Tutorial 5,2024.1.5,None,2024-10-17 12h35.03.168384 +0530,
cushion,,3,0,15,3,,,,,13.045562100000097,,13.02197249999972,13.045562100000097,13.045562100000097,13.514662999999928,1,0.45991289999983564,,,,,,,,,,,,,,,8,001,2024-10-17_12h34.51.520,Tutorial 5,2024.1.5,None,2024-10-17 12h35.03.168384 +0530,
piano ,,3,1,16,4,,,,,13.54095210000014,,13.514998200000264,13.54095210000014,13.54095210000014,13.971263499999623,1,0.4300232999994478,,,,,,,,,,,,,,,8,001,2024-10-17_12h34.51.520,Tutorial 5,2024.1.5,None,2024-10-17 12h35.03.168384 +0530,
tiger,,3,2,17,1,,,,,13.995366099999956,,13.9717856999996,13.995366099999956,13.995366099999956,14.428144299999985,1,0.4307237000002715,,,,,,,,,,,,,,,8,001,2024-10-17_12h34.51.520,Tutorial 5,2024.1.5,None,2024-10-17 12h35.03.168384 +0530,
book,,3,3,18,2,,,,,14.450444000000061,,14.428487099999984,14.450444000000061,14.450444000000061,14.873505499999737,1,0.42066129999966506,,,,,,,,,,,,,,,8,001,2024-10-17_12h34.51.520,Tutorial 5,2024.1.5,None,2024-10-17 12h35.03.168384 +0530,
vase,,3,4,19,0,,,,,14.898877900000116,,14.87383680000039,14.898877900000116,14.898877900000116,15.384161799999674,1,0.484795800000029,,,,,,,,,,,,,,,8,001,2024-10-17_12h34.51.520,Tutorial 5,2024.1.5,None,2024-10-17 12h35.03.168384 +0530,
vase,,4,0,20,0,,,,,15.409479300000385,,15.384490899999946,15.409479300000385,15.409479300000385,16.83844390000013,1,1.4264772000005905,,,,,,,,,,,,,,,8,001,2024-10-17_12h34.51.520,Tutorial 5,2024.1.5,None,2024-10-17 12h35.03.168384 +0530,
piano ,,4,1,21,4,,,,,16.866844199999832,,16.8388130000003,16.866844199999832,16.866844199999832,17.434714500000155,1,0.5684343000002627,,,,,,,,,,,,,,,8,001,2024-10-17_12h34.51.520,Tutorial 5,2024.1.5,None,2024-10-17 12h35.03.168384 +0530,
cushion,,4,2,22,3,,,,,17.459891100000277,,17.435088999999607,17.459891100000277,17.459891100000277,17.93570699999964,1,0.4727517000001171,,,,,,,,,,,,,,,8,001,2024-10-17_12h34.51.520,Tutorial 5,2024.1.5,None,2024-10-17 12h35.03.168384 +0530,
book,,4,3,23,2,,,,,17.95985430000019,,17.936020199999803,17.95985430000019,17.95985430000019,18.53744050000023,1,0.5743752999997014,,,,,,,,,,,,,,,8,001,2024-10-17_12h34.51.520,Tutorial 5,2024.1.5,None,2024-10-17 12h35.03.168384 +0530,
tiger,,4,4,24,1,,,,,18.562866199999917,,18.537843600000087,18.562866199999917,18.562866199999917,19.068516000000272,1,0.5018944000003103,,,,,,,,,,,,,,,8,001,2024-10-17_12h34.51.520,Tutorial 5,2024.1.5,None,2024-10-17 12h35.03.168384 +0530,
,o_a_n_e,,,,,0,0,0,9,19.097234599999865,,,,,,,,19.074284100000114,19.097234599999865,19.097234599999865,19.097234599999865,0.010971400000016729,23.878745900000467,"orange
",[0.11666666666666667],[-0.30925925925925923],[1],[0],[0],[4.798466300000655],['text_3'],8,001,2024-10-17_12h34.51.520,Tutorial 5,2024.1.5,None,2024-10-17 12h35.03.168384 +0530,
,_a_e,,,,,0,1,1,0,23.897782300000472,,,,,,,,23.88023609999982,23.897782300000472,23.897782300000472,23.897782300000472,0.0030929000004107365,26.728102600000057,vase,[0.027777777777777776],[-0.2935185185185185],[1],[0],[0],[2.8443529000005583],['text_3'],8,001,2024-10-17_12h34.51.520,Tutorial 5,2024.1.5,None,2024-10-17 12h35.03.168384 +0530,
